,twitter_id,username,screenname,text,created_at,retweet_count,location,followers,friends
0,1277563431445544960,WengerKing,WengerKing49,RT @MrRussoTM: Wilfried #Zaha has made it clear that he wants to leave Crystal #Palace this summer and wants a new challenge. His agent sti…,2020-06-29 11:23:52,71,South Africa,231,3306
1,1277563334116675584,Roblox Art Retweeter,RetweeterArt,"RT @X65007387: boom boom baby 💥💥💥
#roblox #robloxart #Arsenal https://t.co/Z3mQVfvhqf",2020-06-29 11:23:29,1,,175,5
2,1277563182463291392,jayod,jason_donoghue,"Liverpool today and Arsenal's invincibles Best 11.

                  Alisson

Trent        Campbell VVD        Col… https://t.co/DkICr1N9N8",2020-06-29 11:22:53,0,Galway Ireland ,266,347
3,1277562739062341632,Arsenal,austine_perez,RT @GurjitAFC: #Arsenal will also trigger Thomas Partey's €50m release clause &amp; will attempt to take advantage of Valencia's financial situ…,2020-06-29 11:21:07,22,"Lagos, Nigeria",982,1323
4,1277562690559512578,Thomas A. DeBlasio,ThomasDeBlasio,RT @MrRussoTM: Wilfried #Zaha has made it clear that he wants to leave Crystal #Palace this summer and wants a new challenge. His agent sti…,2020-06-29 11:20:56,71,"New York, NY",368,653
5,1277562269329735683,Ndependent ChicksEnt IFB💋,independentchi1,"RT @mogoa_felix: Objects behind the clothes are less bigger that they appear 😝😝
Let's not argue facts 😂😂😂😂
#arsenal🤘🏿🤘🏿
#COYG",2020-06-29 11:19:15,1,"Mississippi, USA",3089,2773
6,1277562141898346500,Geoff Peasah #AFC♥,awuahpeasah,"RT @GurjitAFC: Arteta: ""He needs to take care of moments in the game when he disconnects himself a little bit. He cannot do that, &amp; I will…",2020-06-29 11:18:45,22,Southampton - Hampshire,3516,4968
7,1277561904853127169,ICE Promo Squad,ICEPromoSquad1,"RT @mogoa_felix: Objects behind the clothes are less bigger that they appear 😝😝
Let's not argue facts 😂😂😂😂
#arsenal🤘🏿🤘🏿
#COYG",2020-06-29 11:17:48,1,,307,632
8,1277561646081286145,SD,FootyKeyrings,#Follow #FollowBack #Footy #Football #Keyrings #Sports #AVFC #MUFC #AFC #CFC #MCFC #Chelsea #Villa #ManU #ManCity #Arsenal Pls RT!!!!!!!!,2020-06-29 11:16:47,0,,1241,801
9,1277561473141800962,...,SamSossa1,RT @MrRussoTM: Wilfried #Zaha has made it clear that he wants to leave Crystal #Palace this summer and wants a new challenge. His agent sti…,2020-06-29 11:16:05,71,London,261,245
10,1277561459732549632,Just Arsenal News,JustArsenal,"JustArsenal News It is all about momentum for Arsenal now and Mikel Arteta knows it https://t.co/LnHuBw5nvu
#afc #JustArsenal #Arsenal",2020-06-29 11:16:02,0,London,17474,819
11,1277561402664902660,Arsenal,austine_perez,RT @urbanarsenaI: Folarin Balogun is set to leave #Arsenal in the next transfer window after a new contract for the striker could not be ag…,2020-06-29 11:15:48,98,"Lagos, Nigeria",982,1323
12,1277561366853844992,brightthekid,brightthekidd,"Arsenal fans will just die of heart attack 😀
@Arsenal #fans #BETAwards2020 #Viral #arsenal 
#comedy https://t.co/hXZx0PsNSs",2020-06-29 11:15:40,0,"Lagos, Nigeria",1104,1458
13,1277561348801523712,KAA (Stay 🏡),truekaa,RT @urbanarsenaI: Folarin Balogun is set to leave #Arsenal in the next transfer window after a new contract for the striker could not be ag…,2020-06-29 11:15:36,98,,8628,8598
14,1277561266777751553,info fifa,infofifa3,"RT @AdenikeZulaiha: How old were you when you realised FIFA means FOOTBALL⚽ ISN'T FOR @Arsenal😂😂

#arsenalshouldtryludo🎲
#arsenal
#BETAward…",2020-06-29 11:15:16,1,,613,82
