id,team_name,common_name,country,hashtag1,hashtag2,hashtag3
1,Arsenal FC,Arsenal,England,#Arsenal,#AFC,#COYG
2,Tottenham Hotspur FC,Tottenham Hotspur,England,#Tottenham,#THFC,#SPURS
3,Manchester City FC,Manchester City,England,#ManchesterCity,#ManCity,#MCFC
4,Leicester City FC,Leicester City,England,#LeicesterCity,#lcfc,
5,Crystal Palace FC,Crystal Palace,England,#CrystalPalace,#CPFC,
6,Everton FC,Everton,England,#Everton,#EFC,
7,Burnley FC,Burnley,England,#Burnley,#BurnleyFC,
8,Southampton FC,Southampton,England,#SouthamptonFC,#Southampton,
9,AFC Bournemouth,AFC Bournemouth,England,#Bournemouth,,
10,Manchester United FC,Manchester United,England,#ManchesterUnited,#ManUnited,#MUFC
11,Liverpool FC,Liverpool,England,#liverpoolfc,#YNWA,#LFC
12,Chelsea FC,Chelsea,England,#Chelsea,#ChelseaFC,#CFC
13,West Ham United FC,West Ham United,England,#Westhamunited,#Westham,#WHUFC
14,Watford FC,Watford,England,#Watford,#WatfordFC,
15,Newcastle United FC,Newcastle United,England,#NewcastleUnited,,
16,Cardiff City FC,Cardiff City,Wales,#Cardiff,#CardiffCity,#CardiffCityFC
17,Fulham FC,Fulham,England,#Fulham,#FulhamFC,
18,Wolverhampton Wanderers FC,Wolverhampton Wanderers,England,#Wolverhampton Wanderers,#wolves,
