partition_1,partition_0,polarity,followers,friends,retweet_count,word_freq_list
AFC Bournemouth,EPL,-0.11137401,8632.135908,1655.352408,12.89318073,"[('fire', 806), ('beach', 632), ('bournemouth', 580), ('picture', 283), ('shows', 278), ('west', 237), ('scale', 200), ('https://t.co/43xq9anr9z', 200), ('undercliff', 153), ('currently', 146), ('done', 142), ('it’s', 141), ('huts', 138), ('three', 137), ('dealing', 124), ('breaks', 124), ('hut', 123), ('see', 121), ('well', 120), ('area.', 119), ('mad', 117), ('quickly', 117), ('spread!!', 117), ('https://t.co/cgcgklxd81', 117), ('got', 108), ('100', 107), ('beach...', 105), ('end', 105), ('assisting', 105), ('police', 105)]"
AMD,Technology,0.095058641,3551.473786,655.5407767,5.585436893,"[('amd', 174), ('1', 118), ('aorus', 100), ('10', 99), ('7nm', 98), ('lot', 93), ('conflicting', 93), ('rumors', 93), ('going', 93), ('8nm.', 93), ('well,', 93), ('bad', 93), ('new', 92), ('rx', 90), ('new…', 88), ('5700', 86), ('xt', 86), ('build', 85), ('ryzen', 81), ('✨you', 81), ('ask', 81), ('ya', 81), ('go!', 81), ('💯rate', 81), ('gpu!', 81), ('🛒shop', 81), ('here👉https://t.co/f5j8juhd3k', 81), ('🚨', 80), ('google', 78), ('confidential', 78)]"
ANU,Universities,-0.07266701,2719.515464,644.7010309,1.659793814,"[('last', 28), ('years', 28), ('attack', 28), ('highlighted', 28), ('sophistication', 28), ('attacks', 28), ('educational', 28), ('institutions.', 28), ('join', 28), ('us', 28), ('special…', 22), ('expert', 15), ('predicts', 15), ('‘corona’', 15), ('baby', 15), ('boom', 15), ('https://t.co/vtdu3biapj', 15), ('|', 10), ('taken', 10), ('something', 10), ('?', 10), ('allegations', 10), ('https://…', 9), ('want', 9), ('say', 9), ('right!', 9), ('https://t.co/oaorsrgjpy', 6), ('special', 6), ('event', 6), ('investigating', 6)]"
Adelaide,Australia,0.126366667,18152.34222,5688.822222,2.72,"[('hot', 19), ('sa', 18), ('come', 18), ('sauce', 16), ('free', 16), ('update:', 14), ('need', 14), ('see', 13), ('latest:', 13), ('monday', 13), ('broken', 12), ('convicted', 12), ('fined', 12), ('https://t.co/fkaiofhoy8', 11), ('find', 11), ('may', 11), ('whose', 11), ('people', 10), ('mystery:', 10), ('humphrey', 10), ('microphone?', 10), ('https://t.co/9vhdlq5zzx', 10), ('new', 10), ('north', 10), ('ankle', 10), ('crossing', 9), ('adelaide', 9), ('percentage', 9), ('points', 9), ('handy', 9)]"
Adidas,Fashion,0.365979517,5215.033306,913.9587843,52.5062448,"[('check', 650), ('good', 569), ('items', 528), ('loving', 524), (""i'm"", 523), ('share!', 520), ('adidas', 484), ('thanks', 362), ('boost', 249), ('yeezy', 199), ('instagram', 183), ('size', 179), ('200720', 168), ('ht…', 168), ('update:', 165), ('https://t.co/kr20gsuuom', 165), ('[instagram]', 159), ('marcellasne_:', 159), ('new', 121), ('white', 95), ('code', 91), ('golf', 85), ('|', 84), ('350', 81), ('use', 78), ('via', 77), ('v2', 74), ('ultra', 69), ('retail', 69), ('extra25', 66)]"
Afghanistan,Politics,-0.030301051,18805.37392,1031.713844,173.0543881,"[('entrance', 126), ('university', 119), ('afghan', 113), ('read', 95), ('taliban', 90), ('forces', 87), ('afghanistan', 83), ('taking', 76), ('two', 76), ('more:', 75), ('province', 72), ('women', 71), ('killed', 70), ('pakistan', 69), ('ask', 68), ('mother', 67), ('take', 65), ('afghanistan.', 65), ('along', 61), ('come', 59), ('last', 58), ('peace', 57), ('first', 57), ('child', 57), ('one', 56), ('district', 56), ('exam.', 55), ('sees', 54), ('serious', 54), ('hats', 54)]"
Albania,Politics,0.036748538,1596.192982,944.8421053,15.87719298,"[('now.', 28), ('world', 27), ('day', 27), ('global', 27), ('around', 27), ('live', 26), ('broadcast', 26), ('right', 26), ('3rd', 26), ('summit', 26), ('representativ…', 25), ('albanian', 18), ('albanians', 15), ('support', 15), ('go', 12), ('ottoman', 12), ('minister', 10), ('albania', 10), ('people', 10), ('reality', 10), ('check:', 10), ('leftovers.', 10), ('are☪️on', 10), ('a✝️☦️continent.', 10), ('🇽🇰lost', 10), ('18', 10), ('diplomatic', 10), ('recognitions', 10), ('3…', 9), ('need', 9)]"
Algeria,Politics,0.076862924,5535.60697,1008.937076,31.51210068,"[('el', 266), ('president', 163), ('history', 138), ('💚🇩🇿', 133), ('ou', 133), ('mazal', 133), ('kheir', 133), ('gouddam', 133), ('🔥🔥🔥', 133), ('https://t.co/vi…', 133), ('year', 82), ('🇩🇿', 78), ('frantz', 78), ('cases', 73), ('offers', 72), ('tebboune', 65), ('recommendations', 63), ('increase', 63), ('investment', 63), ('dead', 60), ('ago', 57), ('new', 56), ('one', 54), ('birthday', 52), ('abdelmadjid', 50), ('long', 48), ('⬇️', 47), ('slammed', 47), ('libyan', 45), ('happy', 44)]"
Amazon,Technology,0.196064511,8998.563442,5505.466213,43.654351,"[('amazon', 167), ('free', 106), ('get', 97), ('new', 90), ('book', 90), ('aws', 85), ('available', 76), ('check', 74), ('author', 72), ('dm', 67), ('via', 62), ('cloud', 61), ('join', 59), ('one', 58), ('right', 55), ('now:', 55), ('time', 54), ('like', 52), ('read', 52), ('download', 50), ('/', 48), ('buy', 47), ('pretty', 45), ('dope', 43), ('listen', 43), ('follow', 43), ('xperience', 42), ('online', 42), ('catch', 41), ('+', 41)]"
Andorra,Politics,0.26913125,4244.5,2969.9375,1.1875,"[('board', 3), ('elegant', 3), ('150', 3), ('sqm', 3), ('exclusive', 3), ('escaldes-engordany,', 3), ('minutes', 3), ('tobacco', 3), ('(', 3), ('drying', 3), ('traditional', 3), ('house', 3), ('andorra)', 3), ('joan', 3), ('manel', 3), ('zamora', 3), ('https://t.co/u6kmrezlyq', 3), ('facebook:', 3), ('❄️half', 3), ('term', 3), ('andorra', 3), ('£878pp', 3), ('proud', 2), ('take', 2), ('we’re', 2), ('jmzamorapho…', 2), ('⛷2x', 2), ('adults', 2), ('+', 2), ('2x', 2)]"
AndyMurray,Tennis,0.334814783,1110.330435,271.8173913,0.217391304,"[('pls', 107), ('follow', 107), ('rt!!!!!!!!!!', 10), ('rt!!!!!!!!', 10), ('rt!!!!!!!!!!!!!', 5), ('rt!!!!!!!!!!!!', 5), ('rt!!!!!!!!!!!', 5), ('rt!!!!!!!!!', 5), ('rt!!!!!!!', 5), ('rt!!!!!!', 5), ('rt!!!!!', 5), ('rt!!!!', 5), (""there's"", 5), ('man!', 5), ('https://t.co/1hjodsvrdd', 5), ('rt!!!', 5), ('rt!!!!!!!!!!!!!!!!!!!!!!!', 4), ('rt!!!!!!!!!!!!!!!!!!!!!!', 4), ('rt!!!!!!!!!!!!!!!!!!!!!', 4), ('rt!!!!!!!!!!!!!!!!!!!!', 4), ('rt!!!!!!!!!!!!!!!!!!!', 4), ('rt!!!!!!!!!!!!!!!!!!', 4), ('rt!!!!!!!!!!!!!!!!', 4), ('rt!!!!!!!!!!!!!!!', 4), ('rt!!!!!!!!!!!!!!', 4), ('rt!!', 3), ('andy', 3), ('murray', 3), ('us', 3), ('open', 3)]"
Angola,Politics,0.133802711,6534.620482,2149.759036,1.548192771,"[('angola', 51), ('new', 42), ('afriwetu', 33), ('july', 32), ('hope', 32), ('ready', 32), ('jul);', 32), ('luanda', 29), ('20:', 28), ('almost', 28), ('time...', 28), ('episode', 28), ('coming', 28), ('weds!', 28), ('nyummy', 28), (""queen's"", 28), ('active', 28), ('fire', 28), ('detected', 28), ('lat/lon:', 28), ('time:', 28), ('analysts', 27), ('thoughts', 24), ('share', 23), ('week;', 23), ('offering;', 23), ('gues…', 23), ('country', 20), ('update', 19), ('forming…', 18)]"
Anguilla,Politics,0.253045455,3554.363636,1360.045455,4.136363636,"[('cases', 7), ('good', 6), ('morning', 6), ('sss.....wishing', 6), ('everyone', 6), ('great', 6), ('week.', 6), ('https://t.co/znmvzrccvh', 6), ('cpa', 6), ('newly', 5), ('elected', 5), ('house', 5), ('assembly', 5), ('today', 4), ('|', 4), ('post-election', 3), ('seminar', 3), ('began', 3), ('speeches', 3), ('mps', 3), ('new', 3), ('british', 3), ('covid', 3), ('conversation!!', 3), ('shorts', 3), ('loading.........', 3), ('secretary-g…', 2), ('returning', 2), ('female', 2), ('hear', 2)]"
Apple,Technology,0.196164768,4629.870861,1452.462914,224.886755,"[('like', 227), ('watch', 225), ('mv', 203), ('apple', 203), ('youtube', 200), ('soon', 193), ('surpassed', 192), ('views', 192), ('pass', 191), ('[milestone]', 190), ('18,000,000', 190), ('800,000', 190), ('likes!', 190), ('melon', 186), ('[info]', 181), ('streaming', 179), ('music', 174), ('report', 167), ('weekly', 166), ('|', 151), ('stage', 144), ('[starnews]', 139), ('proved', 139), ('performance', 139), ('queen', 139), ('comeback', 139), ('mcountdown:', 139), ('https://t.co/02kzgfwcuu', 139), ('ban…', 138), ('12pm', 126)]"
