,twitter_id,username,screenname,text,created_at,retweet_count,location,followers,friends,polarity
0,1279290606204801024,Delowar,delowar556,"EPL: Wolverhampton vs Arsenal live streaming https://t.co/kEskTRJ7SS

#EPL_live #EPL #arsenal",2020-07-04 05:47:03,0,,33,548,0.0
1,1279290602312683523,Apostle Mathias Richmond Jnr,RichmondMathias,"Mikel Arteta tells Guendouzi and Ozil how they can save their Arsenal futures #Arsenal
https://t.co/jwCfyTQbQZ",2020-07-04 05:47:02,0,"Sunyani, Ghana",75,1210,0.4939
2,1279290541503545344,baethoki Arsenal,KipondaBaraka,"RT @ltarsenal: Martinelli on Arteta: ""He helped me so much since he took over. As I've said before, when the ball is in midfield, I have to…",2020-07-04 05:46:47,73,"Arusha, Tanzania",915,470,0.0
3,1279290508137791492,AFQLOC,afqibm,"RT @afcstuff: Images: Arsenal’s home kit, away kit &amp; third kit for the 2020/21 season, manufactured by Adidas. #afc https://t.co/l9lgCzyygG",2020-07-04 05:46:39,250,"Crenshaw, PA",170,1665,0.0
4,1279290480166088707,Mercy Khahukani,Khahu_kani,"RT @afcSource: 🎥 | #AFC

Gabriel Martinelli has committed his long term future to Arsenal by signing a new contract. ✍️📝📄

How impressed ha…",2020-07-04 05:46:33,65,Nairobi Kenya,3336,402,0.6369
5,1279290341833576450,Mirror Football,MirrorFootball,"Mikel Arteta tells Guendouzi and Ozil how they can save their Arsenal futures #Arsenal
https://t.co/9dm0EaRkRo",2020-07-04 05:46:00,0,"London, UK",594581,909,0.4939
6,1279290265916719104,hilikus,amigroot_14,RT @vivekvijoy: Alexis Sanchez after leaving Arsenal #arsenal,2020-07-04 05:45:42,1,Darjeeling,1257,1364,0.0
7,1279290263287062528,ΛDS🇯🇲,AstuteAds,"RT @_AdamKeys: 20 years ago today Arsenal signed Robert Pirès. 

- 287 games
- 84 goals
- 41 assists
- 2 x Premier League winner
- 3 x FA C…",2020-07-04 05:45:41,61,Earth 2,191,136,0.5859
8,1279290235931840512,Good2BGunner,BGood2B,"RT @LTorreira34: Ready for tomorrow ✅💪🏻👏🏻
PremierLeague ⚽️ 
#Wolves vs #Arsenal 

#ComeOnGunners🔴 #LT11 https://t.co/cyPgTJcKPV",2020-07-04 05:45:34,418,"West New York, NJ",225,437,0.3612
9,1279290188657803265,baethoki Arsenal,KipondaBaraka,"RT @LTorreira34: Ready for tomorrow ✅💪🏻👏🏻
PremierLeague ⚽️ 
#Wolves vs #Arsenal 

#ComeOnGunners🔴 #LT11 https://t.co/cyPgTJcKPV",2020-07-04 05:45:23,418,"Arusha, Tanzania",915,470,0.3612
10,1279290091253444608,Michael AdeKanbi Adelodun.,AA_Adelodun,"RT @afcstuff: Images: Arsenal’s home kit, away kit &amp; third kit for the 2020/21 season, manufactured by Adidas. #afc https://t.co/l9lgCzyygG",2020-07-04 05:45:00,250,"Ibadan, Nigeria",4075,4623,0.0
11,1279290026673598464,Arsenal Maldives 💭,afcmaldives,RT @Stuart_PhotoAFC: A few pictures from todays Arsenal training session. #arsenal #arsenaltraining https://t.co/6YYEpyeJ1o,2020-07-04 05:44:45,116,Maldives,309,739,0.0
12,1279289971908792321,AM 7,AM_arsenal7,"How about this poll
A)  Sell Laca buy Depay
B)  Sell Laca rely on youth (Nketiah /Gabi) 
C)  Keep Laca 
#Arsenal #AFC #Aubameyang",2020-07-04 05:44:32,0,,4,4,0.0
13,1279289945551749120,Arsenal godfather ♥️♥️♥️♥️,IgbaSimon1,@ltarsenal This is the same way we all clamour for the ozil deal after his best season now ozil have become a liabi… https://t.co/qpvzyZ9Ers,2020-07-04 05:44:25,0,"Lagos, Nigeria",338,1051,0.6369
14,1279289907580723201,Cinzymiami,OwCinzy,"Martinelli: ""It's as if we are a family and everyone is united. Everyone chats to everyone and you have players lik… https://t.co/PevgwxohT7",2020-07-04 05:44:16,0,"Abuja, Nigeria",439,1775,0.4215
