,twitter_id,username,screenname,text,created_at,retweet_count,location,followers,friends,polarity
0,1279290621375598592,Shubham,ShubhuTheDoctor,"RT @ManCity: No matter what angle you watched it from, that win was 🔥🔥🔥🔥

🔵 #ManCity https://t.co/jp7ndC5Nmp",2020-07-04 05:47:06,455,,157,147,0.4019
1,1279290591982096385,Bob,BobSouljaSlim,"RT @City_Xtra: 🇺🇸 Happy #4thofJuly to all the Blues over in the USA!

#MCFC | @ManCity | #ManCity https://t.co/t1BEfBwg2b",2020-07-04 05:46:59,22,125,260,279,0.6114
2,1279290501510901760,JYKelly,PottsMalc,"RT @DHRComps: Yaya Touré at Man City - Unstoppable
Likes and RTs appreciated 
#GainSZN #MCFC https://t.co/W6KFQ7Edm1",2020-07-04 05:46:38,18,Droylsden ,739,1080,0.6486
3,1279290253145063424,Sange Marcum,sangemarcum,"RT @playmaker_EN: 📈 Most involved in #PremierLeague goals since restart:

5⚽: 💥FODEN (4G, 1A)💥
4⚽: De Bruyne (3G, 1A), Ings (3G, 1A), St-Ma…",2020-07-04 05:45:39,79,"Sydney, New South Wales",53,52,0.0
4,1279290252553850880,JM⚜️,sanchomagic,"RT @City_Xtra: Barcelona and #ManCity are negotiating the return of Eric García for this summer.

[@SPORT via @barcacentre]",2020-07-04 05:45:38,33,Somewhere in the World,1388,1278,0.0
5,1279290090368401409,ManCityzens,ManCityzenscom,"Power and precision!

Kolarov fired this home against Southampton! #MCFC https://t.co/q2nC5PVWbz",2020-07-04 05:45:00,0,"Manchester, England",26461,20848,-0.6351
6,1279289912852975618,Dane Pedersen™,DanePedersen401,"RT @cityreport_: 😢 Feels like yesterday...

#MCFC | @LeroySane19 | #ManCity https://t.co/JiIWXXJP2b",2020-07-04 05:44:17,17,,1076,956,0.3612
7,1279289690189901824,Emma Chima,Emilax97,"RT @cityreport_: 🧑‍🦲 @21LVA went bald #OTD in 2017 then underwent the greatest hair transplant in the history of mankind. 

#MCFC | #ManCit…",2020-07-04 05:43:24,29,"Abuja, Nigeria",478,536,0.6369
8,1279289520354140161,petrolawyer,oladapoyusuf,"RT @City_Chief: #MCFC brought in lawyers when Hoeness reportedly claimed that every time Guardiola wanted a player costing over €100m, he w…",2020-07-04 05:42:44,44,Inns of court,4619,5084,0.0
9,1279289362258309121,andrewbaza,andrewbazaa,"RT @City_Xtra: ✨ The partnership you 𝑳𝑶𝑽𝑬 to see ✨

#MCFC | @ManCity | #MCILIV https://t.co/WXnYBwOojp",2020-07-04 05:42:06,82,kireka Banda,87,526,0.0
10,1279289349067046912,♬♪☣ⒷⒺⓃⒿⒶ☠ⓀⓊⓏⓐⓐ☣♪♫,i_naru,"RT @City_Xtra: 😂 @BernardoCSilva does the 'guard of honour' the right way!

#MCFC | @ManCity | #ManCity https://t.co/aPryhpg6tk",2020-07-04 05:42:03,1408,"13.77842,100.578489",76,1061,0.6114
11,1279289328435372032,F.,farvkkk,"RT @ManCity: The best in the business @DeBruyneKev 😎

🔵 #ManCity https://t.co/J8b4ooT31J",2020-07-04 05:41:58,782,,1731,898,0.6369
12,1279289295480795136,JYKelly,PottsMalc,"RT @bluemoonhub: According to Argentine journalist Christian Martin, the possibility of Leo Messi leaving Barcelona for #ManCity is real. T…",2020-07-04 05:41:50,2,Droylsden ,739,1080,0.0
13,1279289278783160320,José Antonio Gómez,Vanderjosan23,"RT @City_Xtra: Eric Garcia has made it clear to Pep Guardiola he wants to stay, and is happy with their plans for the future. Txiki Begiris…",2020-07-04 05:41:46,65,"Pedrera, Sevilla",441,844,0.743
14,1279289230573830144,andrewbaza,andrewbazaa,"RT @City_Xtra: 🚀 This strike must be up there with one of the most underrated @YayaToure goals?

#MCFC | @ManCity | #ManCity 

https://t.co…",2020-07-04 05:41:35,87,kireka Banda,87,526,-0.128
